Nombre,Posicion,Duracion,Accion,Decision,Defensa,Oposicion,Protagonista,Resultado
Serbia (172),3102320,7920,Serbia,Correcta,BEN,Óptima,ALC,Pierde la posesión
Serbia (173),2102440,8480,Serbia,Incorrecta,ADE,Deficiente,BID,Gol
Serbia (174),896280,7520,Serbia,Incorrecta,LOG,Deficiente,TEU,Pierde la posesión
Serbia (175),2202120,7320,Serbia,Correcta,LOG,Deficiente,TEU,Pierde la posesión
Serbia (176),2267520,9400,Serbia,Incorrecta,LOG,Óptima,TEU,Conserva la posesión
Serbia (177),383520,7160,Serbia,Incorrecta,GUA,Deficiente,PGE,Pierde la posesión
Serbia (178),473200,8480,Serbia,Incorrecta,GUA,Deficiente,PGE,Pierde la posesión
Serbia (179),1876840,11240,Serbia,Incorrecta,GUA,Óptima,PGE,Pierde la posesión
Serbia (180),1972920,8440,Serbia,Incorrecta,BAR,Óptima,CQN,Conserva la posesión
Apoyo pivote falso (104),278920,8560,Apoyo pivote falso,Incorrecta,CQN,Óptima,BAR,Gol
Serbia (181),411360,5880,Serbia,Correcta,CQN,Deficiente,BAR,Pierde la posesión
Apoyo pivote falso (105),700440,12760,Apoyo pivote falso,Incorrecta,CQN,Óptima,BAR,Conserva la posesión
Serbia (182),715880,7920,Serbia,Correcta,CQN,Deficiente,BAR,Gol
Serbia (183),1715880,12440,Serbia,Correcta,BAR,Óptima,CQN,Pierde la posesión
Apoyo pivote falso (106),1171400,9440,Apoyo pivote falso,Incorrecta,BID,Óptima,ATV,Pierde la posesión
Apoyo pivote falso (107),1834760,9160,Apoyo pivote falso,Incorrecta,BID,Óptima,ATV,Pierde la posesión
Serbia (184),1164680,8920,Serbia,Correcta,HCA,Deficiente,BEN,Gol
Serbia (185),1250560,10880,Serbia,Correcta,HCA,Deficiente,BEN,Conserva la posesión
Apoyo pivote falso (108),2242772,9177,Apoyo pivote falso,Correcta,GRA,Deficiente,GUA,Gol
Serbia (186),2473073,7604,Serbia,Correcta,GUA,Deficiente,GRA,Conserva la posesión
Apoyo pivote falso (109),1731440,8860,Apoyo pivote falso,Incorrecta,PGE,Deficiente,SIN,Pierde la posesión
Serbia (187),1815683,12376,Serbia,Correcta,GRA,Óptima,GUA,Conserva la posesión
Serbia (188),2212313,7471,Serbia,Incorrecta,GUA,Óptima,GRA,Pierde la posesión
Apoyo pivote falso (110),1123400,10520,Apoyo pivote falso,Correcta,PGE,Deficiente,SIN,Gol
Serbia (189),1478400,12880,Serbia,Incorrecta,SIN,Deficiente,PGE,Conserva la posesión
Serbia (190),1398585,10766,Serbia,Incorrecta,ALC,Óptima,BAR,Conserva la posesión
Apoyo pivote falso (111),2033930,7499,Apoyo pivote falso,Incorrecta,ALC,Óptima,BAR,Gol
Apoyo pivote falso (112),794520,7240,Apoyo pivote falso,Incorrecta,PGE,Óptima,BEN,Conserva la posesión
Apoyo pivote falso (113),799320,7000,Apoyo pivote falso,Correcta,PGE,Óptima,BEN,Gol
Serbia (191),1624360,6760,Serbia,Correcta,BEN,Óptima,PGE,Pierde la posesión
Apoyo pivote falso (114),1129480,9360,Apoyo pivote falso,Correcta,PGE,Óptima,BEN,Pierde la posesión
Apoyo pivote falso (115),1199240,9360,Apoyo pivote falso,Correcta,PGE,Óptima,BEN,Gol
Apoyo pivote falso (116),1952640,7680,Apoyo pivote falso,Incorrecta,BID,Deficiente,ANA,Pierde la posesión
Serbia (192),1215040,6000,Serbia,Incorrecta,ATV,Deficiente,CQN,Gol
Serbia (193),1312280,8920,Serbia,Incorrecta,ATV,Deficiente,CQN,Pierde la posesión
Serbia (194),1729480,9440,Serbia,Incorrecta,ATV,Deficiente,CQN,Conserva la posesión
Serbia (195),1792080,9320,Serbia,Correcta,ATV,Deficiente,CQN,Gol
Serbia (196),4456840,6480,Serbia,Incorrecta,CQN,Deficiente,ATV,Pierde la posesión
Apoyo pivote falso (117),4480320,8160,Apoyo pivote falso,Incorrecta,CQN,Deficiente,ATV,Pierde la posesión
Serbia (197),454800,7680,Serbia,Correcta,TEU,Deficiente,GUA,Conserva la posesión
Apoyo pivote falso (118),932560,37160,Apoyo pivote falso,Incorrecta,ANA,Deficiente,ADE,Gol
Apoyo pivote falso (119),1033640,7920,Apoyo pivote falso,Incorrecta,ANA,Deficiente,ADE,Pierde la posesión
Apoyo pivote falso (120),2244200,9840,Apoyo pivote falso,Correcta,ANA,Deficiente,ADE,Pierde la posesión
Apoyo pivote falso (121),531840,11600,Apoyo pivote falso,Correcta,LOG,Óptima,ADE,Pierde la posesión
Apoyo pivote falso (122),1037600,10400,Apoyo pivote falso,Incorrecta,LOG,Óptima,ADE,Gol
Serbia (198),1134480,35760,Serbia,Correcta,ADE,Deficiente,ANA,Gol
Serbia (199),1244520,7480,Serbia,Incorrecta,ADE,Deficiente,ANA,Pierde la posesión
Apoyo pivote falso (123),2390360,10880,Apoyo pivote falso,Correcta,ADE,Deficiente,ANA,Pierde la posesión
Apoyo pivote falso (124),505880,10640,Apoyo pivote falso,Incorrecta,ADE,Deficiente,LOG,Pierde la posesión
Serbia (200),944600,47720,Serbia,Incorrecta,ADE,Deficiente,LOG,Pierde la posesión
